brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,price_num,MRP_num,Number_of_Ratings_num,Fit_Type,is_duplicate
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0,1374.0,2499.0,570,Loose Fit,True
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0,1829.0,2999.0,50,Slim,True
Roadster,Men Pure Cotton Jeans,974.0,2499.0,0.61,3.6,1100.0,974.0,2499.0,11000,Pure Cotton,False
Bene Kleed,Relaxed Fit Denim Jeans,873.0,2299.0,0.62,4.0,4800.0,873.0,2299.0,48000,Relaxed,False
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0,1478.0,2899.0,2640,Slim,True
HERE&NOW,Men Stretchable Jeans,798.0,1699.0,0.53,4.0,33.0,798.0,1699.0,330,Stretch,False
Urbano Fashion,Men Relaxed Fit Jeans,944.0,2099.0,0.55,4.0,4200.0,944.0,2099.0,42000,Relaxed,False
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0,1623.0,2799.0,420,Anti Fit,True
Bene Kleed,Men Wide Leg Heavy Fade Jeans,839.0,2799.0,0.7,3.6,114.0,839.0,2799.0,1140,Wide Leg,False
Bene Kleed,Relaxed Fit Denim Jeans,873.0,2299.0,0.62,4.1,5200.0,873.0,2299.0,52000,Relaxed,False
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0,759.0,1899.0,630,Regular,True
Bene Kleed,Men Bootcut Jeans,873.0,2299.0,0.62,4.0,757.0,873.0,2299.0,7570,Bootcut,False
Bene Kleed,Men Wide Leg Jeans,857.0,2599.0,0.67,3.6,152.0,857.0,2599.0,1520,Wide Leg,False
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,3.6,152.0,1829.0,2999.0,1520,Slim,False
styzon,Men Jogger Mid-Rise Jeans,899.0,3599.0,0.75,4.1,64.0,899.0,3599.0,640,Jogger,False
Roadster,Cotton Ecru Straight Fit Jeans,949.0,2499.0,0.62,3.8,80.0,949.0,2499.0,800,Ecru,False
Calvin Klein Jeans,Men Slim Fit Jeans,949.0,2499.0,0.62,3.8,80.0,949.0,2499.0,800,Slim,False
styzon,Men Relaxed Fit Jeans,989.0,1799.0,0.45,3.9,42.0,989.0,1799.0,420,Relaxed,False
Bene Kleed,Men Bootcut Jeans,850.0,2299.0,0.63,3.9,1000.0,850.0,2299.0,10000,Bootcut,False
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0,1275.0,2199.0,1300,Slim,True
HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,769.0,2749.0,0.72,3.6,432.0,769.0,2749.0,4320,Relaxed,False
Bene Kleed,Men Mid-Rise Boot Cut Jeans,873.0,2299.0,0.62,4.0,591.0,873.0,2299.0,5910,Mid-Rise,False
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,4.0,591.0,2309.0,3499.0,5910,Relaxed,False
WROGN,Men Pure Cotton Loose Jeans,1449.0,2499.0,0.42,3.9,111.0,1449.0,2499.0,1110,Pure Cotton,False
Urbano Fashion,Men Relaxed Fit Jeans,1034.0,2299.0,0.55,3.6,618.0,1034.0,2299.0,6180,Relaxed,False
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0,2079.0,3999.0,310,Slim,True
Kotty,Men Low-Rise Jeans,519.0,1999.0,0.74,3.7,1500.0,519.0,1999.0,15000,Low-Rise,False
Bene Kleed,Men Relaxed Fit Jeans,873.0,2299.0,0.62,4.1,4200.0,873.0,2299.0,42000,Relaxed,False
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,4.1,4200.0,1549.0,2499.0,42000,Slim,False
Roadster,Men Wide Leg Jeans,999.0,2499.0,0.6,3.4,53.0,999.0,2499.0,530,Wide Leg,False
Kotty,Men Straight Fit Jeans,719.0,1999.0,0.64,3.8,61.0,719.0,1999.0,610,Straight Fit,False
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0,1399.0,2799.0,250,Anti Fit,True
Mast & Harbour,Men Bootcut Jeans,869.0,2999.0,21.3,4.1,211.0,869.0,2999.0,2110,Bootcut,False
Kotty,Men Low-Rise Cargo  Jeans,639.0,1999.0,0.68,4.2,2000.0,639.0,1999.0,20000,Low-Rise,False
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0,1393.0,3399.0,160,Mid-Rise,True
Mast & Harbour,Men Stretchable Jeans,758.0,2299.0,0.67,3.4,441.0,758.0,2299.0,4410,Stretch,False
Urbano Fashion,Men Slim Fit Jeans,629.0,1399.0,0.55,4.0,22300.0,629.0,1399.0,223000,Slim,False
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0,2099.0,3499.0,1240,Relaxed,True
The Indian Garage Co,Men Slim Fit Mid-Rise Jeans,659.0,1999.0,0.67,4.0,1600.0,659.0,1999.0,16000,Slim,False
Roadster,Men Black Faded Casual Jeans,774.0,2499.0,0.69,3.5,868.0,774.0,2499.0,8680,Other,False
French Connection,Men Slim Fit Jeans,1294.0,3499.0,0.63,4.4,17.0,1294.0,3499.0,170,Slim,True
Mast & Harbour,Men Straight Fit Jeans,764.0,1699.0,0.55,3.5,38.0,764.0,1699.0,380,Straight Fit,False
Roadster,Men Slim Fit Jeans,681.0,2199.0,0.69,3.8,185.0,681.0,2199.0,1850,Slim,False
